//  PLEASE READ:  About this File:
//    In order to ensure this file is read properly by the Material Manager, here is what you can and can't do:
//    
//    1)  Any line starting with a // will be ignored.  You can feel free to add comments like this if you need to
//    2)  Material ID Swatches list must always come before Material Presets list.  So, how you see them below.
//    4)  The order of each list can be re-arranged.  Presently the Swatches are ordered from primary to quaternary, while Presets are alphabetical.
//          This means you can move frequently used Presets to the top of the list, or add new colors to your swatches.
//    5)  Swatch and Presets entries can be moved to the other respecitve list and they will show up properly.
//    6)  The alignment of the values in each column are aesthetic only.  As long as you have at least one space between each column, everything should work as intended.
//    7)  Material Names CANNOT have spaces.
//    8)  Decimals beyond 6 places will be rounded off.
//    9)  Do not add any information between the last swatch entry and the //Material Presets line.
//	  10) Material Types are case sensitive.  You will get an invalid or unsupported warning if the Material Type isn't exact.
//
//
//  Valid material names list:
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  MAYA BUILT IN:  	phong 				lambert 					oceanShader 			fluidShape			useBackground
//						phongE 				layeredShader						 			 	hairTubeShader		shadingMap
//						blinn 				anisotropic 				surfaceShader
//
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  DEFAULT PLUGINS: 	cgfxShader 			dx11Shader 					GLSLShader 				ShaderfxShader 		StingrayPBS (2016+)			bitfrostLiquidMaterial
// 																																				bitfrostFoamMaterial (2016+)
//																																				bitfrostAeroMaterial (2016+)
//
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  RENDERMAN:			RMSDisplacement 	RMSShaveHair				RMSHoldOut 				RMSOcean 			RenderManShader 			RenderManVolume
//						RMSGPSurface		RMSHair 					RMSMatte				RMSGlass 			RenderManShaderObject 		RenderManDisplacement
//
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  MENTAL RAY:			mdl_material		mi_car_paint_phen_x 	 	mia_material_x 			mib_illum_hair		misss_fast_simple_maya
//						mila_material		mi_car_paint_phen_x_passes	mia_material_x_passes 	mib_illum_hair_x 	misss_fast_skin_maya
//						object_light		mi_metallic_paint_x									mib_ptex_lookup 	misss_fast_shader2_x
//						xgen_hair_phen		mi_metallic_paint_x_passes												misss_fast_shader_x 
//						xgen_hair_physical																			misss_fast_shader_x_passes
//
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  ARNOLD: 			aiAmbientOcclusion 	aiComplexIor				aiCarPaint				aiHair 				aiSwitch
//						aiStandardSurface	aiCurvature 				aiMixShader				aiStandardHair		aiRaySwitch
//						aiStandard 			aiUtility 					aiShadowMatte			aiSkin 				aiThinFilm
//						aiWireframe			aiFlat 																	aiTwoSided
//
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  VRAY: 				VRayAISurface 		VRayFlakesMtl  				VRayMtlGLSL 			VRayMtlWrapper 			VRayStochasticFlakesMtl 	VRayScatterFog 
//						VRayBlendMtl 		VRayLightMtl 				VRayMtlHair3 			VRayPointParticleMtl 	VRaySwitchMtl 				VRaySimpleFog 
//						VRayBumpMtl 		VRayMeshMaterial 			VRayMtlMDL 				VRayScannedMtl 			VRayVRmatMtl 				VRaySphereFadeVolume
//						VRayCarPaintMtl 	VRayMtl 					VRayMtlOSL 				VRaySimbiont 			VRayAerialPerspective 
//						VRayFastSSS2 		VRayMtl2Sided 				VRayMtlRenderStats 		VRaySkinMtl 			VRayEnvironmentFog 
//
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//  The valid material names above are populated on a per-version and per-plugin basis.  If your version of maya is missing a plugin, the materials associated with
//  that plugin will not be part of the valid material list.  A material's validity is checked using the function mm_isValidMaterial() and is called when
//  assigning a preset or when a a material's color channel is being queried (whenever the Material List indicators update or the Current Scene tab is rebuilt)
//
//
//	How it works (for you people who want to tinker with the code):
//  
//  Color Presets tab is built using the mm_build_tab_presets() procedure.  At the beginning, mm_getPresetsData() is called which stores all the values from this file.
//  mm_build_tab_presets() then continues on to populate all the swatch and preset buttons with commands containing the appropriate argument values to call mm_assignPreset()
//  where the material is created, values are set, and then assigned to the model.
//	
//  Approximate location for these procedures:
//		mm_build_tab_presets()	Line 700
//  	mm_assignPreset()		Line 1080
//  	mm_getPresetsData()		Line 2600
//  	mm_isValidMaterial()	Line 3300
//


//Material ID Swatches
//Material Name		Color R 	Color G		Color B		Spec R 		Spec G 		Spec B		Cosine Pwr 	Material Type

Solid_Red			1.0			0.0			0.0			0.0			0.0			0.0			2.0			phong
Solid_Green			0.0			1.0			0.0			0.0			0.0			0.0			2.0			phong
Solid_Blue			0.0			0.0			1.0			0.0			0.0			0.0			2.0			phong
Solid_White			1.0			1.0			1.0			0.0			0.0			0.0			2.0			phong
Solid_Cyan			0.0			1.0			1.0			0.0			0.0			0.0			2.0			phong
Solid_Magenta		1.0			0.0			1.0			0.0			0.0			0.0			2.0			phong
Solid_Yellow		1.0			1.0			0.0			0.0			0.0			0.0			2.0			phong
Solid_Black			0.0			0.0			0.0			0.0			0.0			0.0			2.0			phong
Solid_Orange		1.0			0.5			0.0			0.0			0.0			0.0			2.0			phong
Solid_Pink			1.0			0.5			0.5			0.0			0.0			0.0			2.0			phong
Solid_Normal		0.5			0.5			1.0			0.0			0.0			0.0			2.0			phong
Solid_Purple		0.5			0.0			1.0			0.0			0.0			0.0			2.0			phong
Half_Red			0.5			0.0			0.0			0.0			0.0			0.0			2.0			phong
Half_Green			0.0			0.5			0.0			0.0			0.0			0.0			2.0			phong
Half_Blue			0.0			0.0			0.5			0.0			0.0			0.0			2.0			phong



//Material Presets
//Material Name 	Color R 	Color G		Color B		Spec R 		Spec G 		Spec B		Cosine Pwr 	Material Type

Asphalt				0.529411 	0.469838 	0.446366 	0.068375 	0.068375 	0.068375	5.350427	phong
Brick				0.607843 	0.200000 	0.156862 	0.119661 	0.119661 	0.119661	2.000000	phong
Concrete			0.607843 	0.564142 	0.512495 	0.230762 	0.230762 	0.230762	3.675213	phong
Concrete_Rough		0.725490 	0.627022 	0.540561 	0.102571 	0.102571 	0.102571	2.000000	phong
Carbon_Fibre		0.086274 	0.117647 	0.196078 	0.299137 	0.299137 	0.299137	2.837606	phong
Charcoal			0.048442 	0.087633 	0.176470 	0.059830 	0.059830 	0.059830	2.000000	phong
Earth				0.254901 	0.223529 	0.211764 	0.119661 	0.119661 	0.119661	2.000000	phong
Eyeball				0.897428 	0.897428 	0.782040 	0.367528 	0.367528 	0.367528	65.65811	phong
Fabric_Rough		0.509803 	0.439215 	0.505882 	0.222217 	0.222217 	0.222217	2.000000	phong
Fabric_Soft			0.093428 	0.254901 	0.084967 	0.076920 	0.076920 	0.076920	2.000000	phong
Fabric_Synthetic	0.199923 	0.509803 	0.212686 	0.239322 	0.239322 	0.239322	4.512820	phong
FiberGlass			0.966001 	1.000000 	0.470588 	0.153841 	0.153841 	0.153841	2.000000	phong
Glass				0.322952 	0.549019 	0.478687 	0.500000 	0.500000 	0.500000	26.29059	phong
Grass				0.238773 	0.393163 	0.167696 	0.341878 	0.341878 	0.341878	11.21367	phong
Gravel				0.314335 	0.417118 	0.607999 	0.153841 	0.153841 	0.153841	7.863247	phong
Hair				0.431372 	0.306914 	0.236831 	0.501960 	0.501960 	0.309803	6.188034	phong
Ice					0.427878 	0.525001 	0.589745 	0.500000 	0.500000 	0.500000	2.837606	phong
Leather				0.137254 	0.113150 	0.099577 	0.444449 	0.444449 	0.444449	4.512820	phong
Marble				0.046136 	0.196078 	0.046136 	0.649576 	0.649576 	0.649576	35.50427	phong
Metal_Aluminum		0.408499 	0.453879 	0.470084 	0.940169 	0.940169 	0.940169	2.000000	phong
Metal_Brass			0.705882 	0.611078 	0.179930 	1.000000 	0.949019 	0.466666	3.675213	phong
Metal_Bronze		0.725490 	0.536794 	0.256055 	1.000000 	0.898187 	0.627450	3.675213	phong
Metal_Chrome		0.188235 	0.188235 	0.188235 	1.000000 	1.000000 	1.000000	4.512820	phong
Metal_Copper		0.470588 	0.233728 	0.193771 	1.000000 	0.808666 	0.666666	8.700854	phong
Metal_Galvanized	0.392156 	0.392156 	0.470588 	0.282047 	0.282047 	0.282047	5.350427	phong
Metal_Gold			1.000000 	0.805803 	0.121568 	1.000000 	0.705616 	0.000000	2.000000	phong
Metal_Gun			0.062745 	0.062745 	0.062745 	0.376073 	0.376073 	0.376073	2.000000	phong
Metal_Iron			0.380392 	0.360784 	0.341176 	0.803418 	0.803418 	0.803418	3.675213	phong
Metal_Lead			0.159029 	0.205767 	0.247867 	0.162386 	0.162386 	0.162386	3.675213	phong
Metal_Painted		1.000000 	0.598035 	0.000000 	0.307698 	0.307698 	0.307698	8.700854	phong
Metal_Plate			0.500000 	0.500000 	0.500000 	0.461539 	0.461539 	0.461539	3.675213	phong
Metal_Rusted		0.313725 	0.132982 	0.073817 	0.094010 	0.073746 	0.073746	2.000000	phong
